date,neta_taste,neta_odor,veta_taste,veta_odor,is_neta_taste_ub,is_neta_odor_ub,is_veta_taste_ub,is_veta_odor_ub
2020-10-09,1,1,1,1,False,False,False,False
2020-10-10,1,2,1,1,False,False,False,False
2020-10-20,1,1,1,1,False,False,False,False
2020-10-21,1,1,1,1,False,False,False,False
2020-10-22,1,1,1,1,False,False,False,False
2020-10-23,1,1,1,1,False,False,False,False
2020-10-24,1,1,1,1,False,False,False,False
2020-10-25,1,1,1,1,False,False,False,False
2020-10-26,1,1,1,1,False,False,False,False
2020-10-27,1,1,1,1,False,False,False,False
2020-10-28,1,1,1,1,False,False,False,False
2020-10-29,1,1,1,1,False,False,False,False
2020-10-30,1,1,1,1,False,False,False,False
2020-10-31,1,1,1,1,False,False,False,False
2020-11-01,1,1,1,1,False,False,False,False
2020-11-02,1,1,1,1,False,False,False,False
2020-11-03,1,1,1,1,False,False,False,False
2020-11-04,1,1,1,1,False,False,False,False
2020-11-05,1,1,1,1,False,False,False,False
2020-11-06,1,1,1,1,False,False,False,False
2020-11-07,1,1,1,1,False,False,False,False
2020-11-08,1,1,1,1,False,False,False,False
2020-11-09,1,1,1,1,False,False,False,False
2020-11-20,1,1,1,1,False,False,False,False
2020-11-21,1,1,1,1,False,False,False,False
2020-11-22,1,1,1,1,False,False,False,False
2020-11-23,1,1,1,1,False,False,False,False
2020-11-24,1,1,1,1,False,False,False,False
2020-11-25,1,1,1,1,False,False,False,False
2020-11-26,1,1,1,1,False,False,False,False
2020-11-27,1,1,1,1,False,False,False,False
2020-11-28,1,1,1,1,False,False,False,False
2020-11-29,1,1,1,1,False,False,False,False
2020-11-30,1,1,1,1,False,False,False,False
2020-12-01,1,1,1,1,False,False,False,False
2020-12-02,1,1,1,1,False,False,False,False
2020-12-03,1,1,1,1,False,False,False,False
2020-12-04,1,1,1,1,False,False,False,False
2020-12-05,1,1,1,1,False,False,False,False
2020-12-06,1,1,1,1,False,False,False,False
2020-12-07,1,1,1,1,False,False,False,False
2020-12-08,1,1,1,1,False,False,False,False
2020-12-09,1,1,1,1,False,False,False,False
2020-12-19,1,1,2,1,False,False,False,False
2020-12-20,1,1,2,1,False,False,False,False
2020-12-21,1,1,2,1,False,False,False,False
2020-12-22,1,1,2,1,False,False,False,False
2020-12-23,2,1,3,1,False,False,False,False
2020-12-24,2,1,2,1,False,False,False,False
2020-12-25,2,1,2,1,False,False,False,False
2020-12-26,2,1,2,1,False,False,False,False
2020-12-27,2,1,2,1,False,False,False,False
2020-12-28,2,1,2,1,False,False,False,False
2020-12-29,2,1,2,1,False,False,False,False
2020-12-30,2,1,2,1,False,False,False,False
2020-12-31,2,1,2,1,False,False,False,False
2021-01-01,2,1,2,1,False,False,False,False
2021-01-02,2,1,2,1,False,False,False,False
2021-01-03,2,1,2,2,False,False,False,False
2021-01-04,2,1,2,1,False,False,False,False
2021-01-05,2,1,1,1,False,False,False,False
2021-01-06,2,1,2,1,False,False,False,False
2021-01-07,2,1,2,1,False,False,False,False
2021-01-08,1,1,1,1,False,False,False,False
2021-01-09,1,1,1,1,False,False,False,False
2021-01-16,2,1,1,1,False,False,False,False
2021-01-17,2,1,2,1,False,False,False,False
2021-01-19,2,1,3,1,False,False,False,False
2021-01-20,1,1,2,1,False,False,False,False
2021-01-21,1,1,1,1,False,False,False,False
2021-01-22,1,1,2,2,False,False,False,False
2021-01-23,1,1,1,1,False,False,False,False
2021-01-24,1,1,1,1,False,False,False,False
2021-01-25,2,1,2,1,False,False,False,False
2021-01-26,1,1,3,1,False,False,False,False
2021-01-27,2,1,12,2,False,False,False,False
2021-01-28,2,2,8,2,False,False,False,False
2021-01-29,3,1,8,2,False,False,False,False
2021-01-30,2,1,4,2,False,False,False,False
2021-01-31,3,2,6,2,False,False,False,False
2021-02-01,2,1,6,2,False,False,False,False
2021-02-02,3,1,4,2,False,False,False,False
2021-02-03,3,2,6,2,False,False,False,False
2021-02-04,3,2,6,2,False,False,False,False
2021-02-05,2,1,4,2,False,False,False,False
2021-02-06,6,2,3,2,False,False,False,False
2021-02-07,2,2,3,2,False,False,False,False
2021-02-08,2,2,3,2,False,False,False,False
2021-02-09,2,2,3,2,False,False,False,False
2021-02-10,2,2,3,2,False,False,False,False
2021-02-11,3,2,4,2,False,False,False,False
2021-02-12,3,2,4,2,False,False,False,False
2021-02-13,3,2,4,2,False,False,False,False
2021-02-14,3,2,4,2,False,False,False,False
2021-02-15,3,2,4,2,False,False,False,False
2021-02-16,2,1,2,1,False,False,False,False
2021-02-17,2,1,2,1,False,False,False,False
2021-02-18,1,1,2,1,False,False,False,False
2021-02-19,2,1,2,1,False,False,False,False
2021-02-20,1,1,2,2,False,False,False,False
2021-02-21,2,1,2,1,False,False,False,False
2021-02-22,2,1,2,1,False,False,False,False
2021-02-23,2,1,2,1,False,False,False,False
2021-02-24,2,1,2,1,False,False,False,False
2021-02-25,1,1,1,1,False,False,False,False
2021-02-26,1,1,1,1,False,False,False,False
2021-02-27,1,1,1,1,False,False,False,False
2021-02-28,1,1,1,1,False,False,False,False
2021-03-01,1,1,2,1,False,False,False,False
2021-03-02,1,1,2,1,False,False,False,False
2021-03-03,1,1,2,2,False,False,False,False
2021-03-04,1,2,2,1,False,False,False,False
2021-03-05,1,1,1,1,False,False,False,False
2021-03-06,1,1,1,1,False,False,False,False
2021-03-07,1,1,2,2,False,False,False,False
2021-03-08,1,1,1,1,False,False,False,False
2021-03-09,1,1,2,1,False,False,False,False
2021-03-10,1,1,2,1,False,False,False,False
2021-03-11,1,1,3,1,False,False,False,False
2021-03-12,1,1,2,1,False,False,False,False
2021-03-13,1,1,2,1,False,False,False,False
2021-03-14,1,1,2,1,False,False,False,False
2021-03-15,1,1,2,1,False,False,False,False
2021-03-16,2,1,2,1,False,False,False,False
2021-03-17,2,1,2,1,False,False,False,False
2021-03-18,3,1,4,2,False,False,False,False
2021-03-19,2,1,3,1,False,False,False,False
2021-03-20,2,1,4,2,False,False,False,False
2021-03-21,3,2,6,2,False,False,False,False
2021-03-22,4,2,6,2,False,False,False,False
2021-03-23,2,1,8,2,False,False,False,False
2021-03-24,3,2,6,2,False,False,False,False
2021-03-25,4,2,4,2,False,False,False,False
2021-03-26,2,2,6,2,False,False,False,False
2021-03-27,3,2,4,2,False,False,False,False
2021-03-28,3,2,8,2,False,False,False,False
2021-03-29,2,2,6,2,False,False,False,False
2021-03-30,2,1,4,2,False,False,False,False
2021-03-31,4,2,8,2,False,False,False,False
2021-04-01,3,2,8,2,False,False,False,False
2021-04-02,2,1,6,2,False,False,False,False
2021-04-03,2,1,8,2,False,False,False,False
2021-04-04,3,1,8,2,False,False,False,False
2021-04-05,2,1,3,2,False,False,False,False
2021-04-06,2,1,3,2,False,False,False,False
2021-04-07,2,1,4,2,False,False,False,False
2021-04-08,2,1,3,1,False,False,False,False
2021-04-09,2,1,2,1,False,False,False,False
2021-04-10,1,1,2,1,False,False,False,False
2021-04-11,1,1,2,1,False,False,False,False
2021-04-13,2,1,3,1,False,False,False,False
2021-04-14,1,1,2,1,False,False,False,False
2021-04-15,1,1,3,1,False,False,False,False
2021-04-16,1,1,2,1,False,False,False,False
2021-04-17,1,1,3,1,False,False,False,False
2021-04-18,1,1,2,1,False,False,False,False
2021-04-20,1,1,1,1,False,False,False,False
2021-04-21,3,1,3,1,False,False,False,False
2021-04-22,3,1,3,1,False,False,False,False
2021-04-23,1,1,2,1,False,False,False,False
2021-04-24,1,1,2,1,False,False,False,False
2021-04-25,1,1,1,1,False,False,False,False
2021-04-26,1,1,2,1,False,False,False,False
2021-04-27,2,1,1,1,False,False,False,False
2021-04-28,3,1,3,1,False,False,False,False
2021-04-29,1,1,1,1,False,False,False,False
2021-04-30,1,1,1,1,False,False,False,False
2021-05-01,1,1,1,1,False,False,False,False
2021-05-02,1,1,1,1,False,False,False,False
2021-05-03,1,1,1,1,False,False,False,False
2021-05-04,1,1,1,1,False,False,False,False
2021-05-05,1,1,1,1,False,False,False,False
2021-05-06,1,1,1,1,False,False,False,False
2021-05-07,1,1,1,1,False,False,False,False
2021-05-08,1,1,1,1,False,False,False,False
2021-05-09,1,1,1,1,False,False,False,False
2021-05-20,1,1,1,1,False,False,False,False
2021-05-21,1,1,1,1,False,False,False,False
2021-05-22,1,1,1,1,False,False,False,False
2021-05-23,1,1,1,1,False,False,False,False
2021-05-24,1,1,1,1,False,False,False,False
2021-05-25,1,1,1,1,False,False,False,False
2021-05-26,1,1,1,1,False,False,False,False
2021-05-27,1,1,1,1,False,False,False,False
2021-05-28,1,1,1,1,False,False,False,False
2021-05-29,1,1,1,1,False,False,False,False
2021-05-30,1,1,1,1,False,False,False,False
2021-05-31,1,1,1,1,False,False,False,False
