,name
poco_manoel_ribeiro,Poço Manoel Ribeiro
poco_do_marques,Poço do Marquês
praca_joao_pessoa,Praça João Pessoa
pureza,Pureza
queimados,Queimados
quininha_batalha,Quininha Batalha
quissama,Quissamã
ribeirao_das_lajes,Ribeirão das Lajes
rio_bonito,Rio Bonito
rio_claro,Rio Claro
casemiro_de_abreu__barra_de_sao_joao__rio_das_ostras,Casemiro De Abreu (Barra De São João)/Rio Das Ostras
rio_de_janeiro,Rio De Janeiro
rio_dourado,Rio Dourado
rio_de_ouro,Rio De Ouro
rio_grande,Rio Grande
rio_preto,Rio Preto
rio_souza,Rio Souza
rosa_machado,Rosa Machado
sacarrao,Sacarrão
santa_clara,Santa Clara
santa_maria_madalena,Santa Maria Madalena
santa_rita_da_floresta,Santa Rita da Floresta
santanesia,Santanésia
santo_aleixo,Santo Aleixo
santo_antonio_de_padua,Santo Antônio De Pádua
sapucaia,Sapucaia
saudoso,Saudoso
seropedica,Seropédica
serra_do_piloto,Serra do Piloto
sistema_parque_santana,Sistema Parque Santana
sistema_sao_pedro,Sistema São Pedro
sumidouro,Sumidouro
surui,Suruí
sao_fidelis,São Fidélis
sao_francisco_do_itabapoana,São Francisco Do Itabapoana
ilha_de_paqueta_sao_goncalo,Ilha De Paquetá/São Gonçalo
sao_joaquim,São Joaquim
sao_jose_do_ribeirao,São José Do Ribeirão
sao_jose_de_uba,São José de Ubá
sao_joao_de_meriti,São João De Meriti
sao_joao_da_barra,São João da Barra
sao_joao_do_paraiso,São João do Paraiso
sao_pedro,São Pedro
sao_sebastiao_do_paraiba,São Sebastião do Paraíba
sao_sebastiao_do_alto,São Sebastião do Alto
sao_sebastiao_dos_ferreiros,São Sebastião dos Ferreiros
tachas,Tachas
tangua,Tanguá
taylor,Taylor
teresopolis,Teresópolis
tingua,Tinguá
trajano_de_morais,Trajano de Morais
triunfo,Triunfo
tres_irmaos,Três Irmãos
valenca,Valença
valao_do_barro,Valão do Barro
vargem_alegre,Vargem Alegre
vargem_grande,Vargem Grande
varjao,Varjão
varre_sai,Varre-sai
vassouras,Vassouras
venda_das_flores,Venda das Flores
xerem,Xerém
